CATEGORY,BRAND,MODEL NO,DESCRIPTION,PDC,CDC,STOCK
EZYKAM,CP PLUS,CP-E28Q,EZYKAM 2 Mp Indoor PT,1902,1863.96,10
EZYKAM,CP PLUS,CP-E31Q ,EZYKAM 3 Mp Indoor PT,2243,2198.14,10
EZYKAM,CP PLUS,CP-E38Q ,EZYKAM 3 Mp Indoor PT,2180,2136.4,10
EZYKAM,CP PLUS,CP-E41Q,EZYKAM 4 Mp Indoor PT,2559,2507.82,10
EZYKAM,CP PLUS,CP-E48Q,EZYKAM 4 Mp Indoor PT,2433,2384.34,10
EZYKAM,CP PLUS,CP-Z43Q,EZYKAM 4 Mp Bullet PT,3248,3183.04,10
EZYKAM,CP PLUS,CP-Z45Q,EZYKAM 4 Mp Bullet PT,3311,3244.78,10
EZYKAM,CP PLUS,CP-E21Q,EZYKAM 2 Mp Indoor PT,1965,1925.7,10
EZYKAM,CP PLUS,EZ-P34Q,EZYKAM 3 Mp Indoor PT-Ezylite,1878,1840.44,10
4G EZYKAM,CP PLUS,EZ-R33T,4G EZYKAM 3Mp 4G+Wifi Bullet Fixed,2194,2150.12,10
4G EZYKAM,CP PLUS,EZ-M32T,4G EZYKAM 3Mp 4G Dome Fixed,2194,2150.12,10
4G EZYKAM,CP PLUS,EZ-S35T,4G EZYKAM 4Mp 4G Bullet PT/Color/Dual Lens,3033,2972.34,10
SOLAR PANEL,CP PLUS,CP-SL06K,4G SOLAR PANEL KIT WITH BULIT IN BATTERY 30W OUTPUT BACKUP 12HRS APP,4461,4371.78,10
